RegionID,RegionName,City,State,Metro,CountyName,SizeRank,2019-04
403333,Vittum Park,Chicago,IL,Chicago-Naperville-Elgin,Cook County,3677,1596
403275,Wildwood,Chicago,IL,Chicago-Naperville-Elgin,Cook County,3678,2455
403277,Old Norwood Park,Chicago,IL,Chicago-Naperville-Elgin,Cook County,3698,2244
274850,Oakland,Chicago,IL,Chicago-Naperville-Elgin,Cook County,3725,1787
403269,Pulaski Park,Chicago,IL,Chicago-Naperville-Elgin,Cook County,3887,2105
269572,Avalon Park,Chicago,IL,Chicago-Naperville-Elgin,Cook County,3923,1447
403290,Ravenswood Manor,Chicago,IL,Chicago-Naperville-Elgin,Cook County,4017,2348
403309,West De Paul,Chicago,IL,Chicago-Naperville-Elgin,Cook County,4062,2517
137799,Chinatown,Chicago,IL,Chicago-Naperville-Elgin,Cook County,4113,1829
269567,Andersonville,Chicago,IL,Chicago-Naperville-Elgin,Cook County,4208,1836
403128,Stony Island Park,Chicago,IL,Chicago-Naperville-Elgin,Cook County,4339,1471
403373,West Morgan Park,Chicago,IL,Chicago-Naperville-Elgin,Cook County,4436,1888
403282,Belmont Terrace,Chicago,IL,Chicago-Naperville-Elgin,Cook County,4448,1913
403259,Magnolia Glen,Chicago,IL,Chicago-Naperville-Elgin,Cook County,4451,1668
403267,Graceland West,Chicago,IL,Chicago-Naperville-Elgin,Cook County,4515,1913
403358,Marynook,Chicago,IL,Chicago-Naperville-Elgin,Cook County,4562,1498
403344,Dearborn Park,Chicago,IL,Chicago-Naperville-Elgin,Cook County,4604,1982
403346,The Gap,Chicago,IL,Chicago-Naperville-Elgin,Cook County,4806,1838
403371,Kennedy Park,Chicago,IL,Chicago-Naperville-Elgin,Cook County,4975,1709
403343,Printers Row,Chicago,IL,Chicago-Naperville-Elgin,Cook County,5269,1947
403297,River West,Chicago,IL,Chicago-Naperville-Elgin,Cook County,5314,2036
403383,Cottage Grove Heights,Chicago,IL,Chicago-Naperville-Elgin,Cook County,5505,1406
403334,LeClaire Courts,Chicago,IL,Chicago-Naperville-Elgin,Cook County,5567,1496
403363,Pill Hill,Chicago,IL,Chicago-Naperville-Elgin,Cook County,5594,1469
403345,South Commons,Chicago,IL,Chicago-Naperville-Elgin,Cook County,5745,1396
403336,Chrysler Village,Chicago,IL,Chicago-Naperville-Elgin,Cook County,5763,1383
403365,Parkview,Chicago,IL,Chicago-Naperville-Elgin,Cook County,5769,1537
140024,Pullman,Chicago,IL,Chicago-Naperville-Elgin,Cook County,5819,1352
403338,Ford City,Chicago,IL,Chicago-Naperville-Elgin,Cook County,5918,1370
403372,Beverly Woods,Chicago,IL,Chicago-Naperville-Elgin,Cook County,5965,1806
403320,Greektown,Chicago,IL,Chicago-Naperville-Elgin,Cook County,6114,2018
269580,Forest Glen,Chicago,IL,Chicago-Naperville-Elgin,Cook County,6128,2100
403258,Edgewater Glen,Chicago,IL,Chicago-Naperville-Elgin,Cook County,6170,1969
403302,Cabrini Green,Chicago,IL,Chicago-Naperville-Elgin,Cook County,6564,1959
403280,Schorsch Forest View,Chicago,IL,Chicago-Naperville-Elgin,Cook County,6573,2051
403348,Groveland Park,Chicago,IL,Chicago-Naperville-Elgin,Cook County,6579,1380
